"File","Type","Refs"
"ic_skin_calendar_todo.xml","XML","0"
"ic_skin_chevron_right.xml","XML","0"
"ic_skin_evenness_outline.xml","XML","1"
"ic_skin_fire.xml","XML","2"
"ic_skin_history.xml","XML","3"
"ic_skin_mainbar.png","PNG","2"
"ic_skin_mainbar_nav.xml","XML","2"
"ic_skin_mainbar_nonactive.png","PNG","0"
"ic_skin_medal.xml","XML","1"
"ic_skin_moisture.xml","XML","5"
"ic_skin_moon.xml","XML","3"
"ic_skin_pigmentation.xml","XML","2"
"ic_skin_pores.xml","XML","2"
"ic_skin_reminder.xml","XML","1"
"ic_skin_routine_white.xml","XML","7"
"ic_skin_sensitivity.xml","XML","2"
"ic_skin_settings.xml","XML","1"
"ic_skin_share.xml","XML","1"
"ic_skin_sparkle.xml","XML","3"
"ic_skin_spot_outline.xml","XML","1"
"ic_skin_star.xml","XML","1"
"ic_skin_sun.xml","XML","3"
"ic_skin_target.xml","XML","1"
"ic_skin_trend.xml","XML","1"
"ic_skin_type_outline.xml","XML","2"
"ic_skin_weather.xml","XML","3"
"ic_skin_weather_noti.xml","XML","2"
"ic_skin_wrinkle_outline.xml","XML","1"
"ic_skincare.xml","XML","5"
"ic_sort.xml","XML","2"
"ic_star.xml","XML","33"
"ic_star_gold.xml","XML","10"
"ic_star_outline.xml","XML","1"
"ic_store.xml","XML","8"
"ic_store_outline.xml","XML","2"
"ic_story_outline.xml","XML","3"
"ic_sun_outline.xml","XML","0"
"ic_switch_track_off.xml","XML","37"
"ic_switch_track_on.xml","XML","8"
"ic_switch_track_on_yellow.xml","XML","3"
"ic_tag.xml","XML","4"
"ic_time.xml","XML","4"
"ic_truck.xml","XML","13"
"ic_user_card_outline.xml","XML","1"
"ic_user_edit_outline.xml","XML","1"
"ic_user_outline.xml","XML","9"
"ic_verified.xml","XML","6"
"ic_video_call.png","PNG","2"
"ic_vnpay.png","PNG","4"
"ic_voucher.xml","XML","10"
"ic_wallet.xml","XML","2"
"ic_warning_red.xml","XML","3"
"ic_warning_rhomb.xml","XML","1"
"ic_water_drop.xml","XML","5"
"ic_water_drop_outline.xml","XML","4"
"ic_weather_dislike.xml","XML","1"
"ic_weather_drop.xml","XML","1"
"ic_weather_like.xml","XML","1"
"ic_weather_lotion.xml","XML","1"
"ic_weather_protect.xml","XML","1"
"ic_weather_sparkles.xml","XML","2"
"ic_weather_sun.xml","XML","4"
"ic_weather_sun_outlined.xml","XML","1"
"ic_weather_wand.xml","XML","2"
"ic_weather_warning.xml","XML","1"
"ic_welcome_1.png","PNG","1"
"ic_welcome_2.png","PNG","1"
"ic_welcome_3.png","PNG","1"
"home_ic_qr.xml","XML","1"
"home_ic_social_circle.xml","XML","0"
